"Parts List","","","",""
"Item","Qty","Part Number","Description","Material"
"1","4","2020 V-Slot 500","V-Slot Profile","Aluminum"
"2","4","2020 3Way Corner","","Aluminum"
"3","2","Y-Slider","",""
"4","1","2020 V-Slot 480","2020 V-Slot 480mm","Aluminum"
"5","2","GT2 Motor Pulley 20T","","Aluminum"
"6","1","X-Slider","",""
"7","1","X Idler Spacer L","X Idler Spacer Left",""
"8","2","XY Corner Pulley Buddy","",""
"9","1","XY Belt Tension","",""
"10","2","XY Motor Corner Buddy","",""
"11","1","X Idler Spacer R","X Idler Spacer Right",""
"12","1","X End Stop Buddy","","PLA or PETG"
"13","1","Y End Stop Buddy","","PLA or PETG"
"14","1","Y End Stop Bracket","","PLA or PETG"
